train_loss,val_loss,train_acc,val_acc,train_precision,val_precision,train_recall,val_recall,train_dice,val_dice,train_miou,val_miou,train_iou,val_iou
0.8165519199709395,0.8426897595910465,0.8256494892177297,0.8456408942446989,0.6840513200818825,0.7319691458122928,0.6777805447467228,0.5041430200213076,0.6640631043727496,0.5557149367056927,0.6471589532986617,0.6168443944383537,0.5110966021806669,0.43368697303873516
0.7269888758214552,0.8085407386807835,0.8498374312671263,0.8443616979262408,0.7219288431441606,0.6554779128226287,0.7120186391272652,0.6336325556797431,0.7050776919072022,0.6204502544428375,0.68434925772486,0.6333507549857431,0.5583194871294076,0.48751474140462536
0.7036568598071141,0.7712264963809181,0.8565114434085676,0.8600687524851631,0.7400410495865256,0.7686507198150674,0.721592174981957,0.5537939602002919,0.7163177174307517,0.6037401059206404,0.6943275632559142,0.6427040438598152,0.5706135016490719,0.47465326526209245
0.6650633722988527,0.7602100836880067,0.8641130248112465,0.8587222379796645,0.7512773314852323,0.7107165404911135,0.7310619222472853,0.6156512236214844,0.7327028254964458,0.6296414042904689,0.7073731743244093,0.6532496043658728,0.5888341388373233,0.5001614358083882
0.6361118903133407,0.7348499245503369,0.8725966837868762,0.863499287296744,0.7647413545246444,0.7304677347954668,0.7439508568217506,0.609459632820603,0.7468610233557758,0.6308065565446703,0.7208941915531212,0.6577259480312896,0.6062120481102324,0.503852582726319
0.6229114681482315,0.7618684935219148,0.875295695973866,0.8555742151596967,0.7682313112847841,0.7564584814519426,0.7456942638799325,0.5850449316524515,0.7509043033220875,0.6173242975054888,0.7246347427534968,0.6465841230567122,0.6109938298477166,0.4875430248048845
0.6006868255338562,0.7509708395775627,0.8803228406763789,0.8584972462233376,0.7779776825388866,0.7258537692246974,0.755939759758871,0.6294050710164347,0.7611212430160437,0.6379865622303874,0.7336615167502591,0.6571448771532208,0.623706711595183,0.5089415753868177
0.5819616233234974,0.7344252028886009,0.883753790784238,0.861485051758149,0.7831324978745473,0.6962947940851876,0.7639309824096845,0.6342702406465657,0.7690348620317987,0.6435246543098323,0.741283262006021,0.6606633606635075,0.6344214514273205,0.5157702864081626
0.5798486837033016,0.7384842678027994,0.8845487850815502,0.8600219277774587,0.7877598011226796,0.7201903738663267,0.7628602992687652,0.6340071601024344,0.7692760484876917,0.6392571319977224,0.7409270034630352,0.6583881797050163,0.6335425008255154,0.5116589784403679
0.5641355217059156,0.7272826924043543,0.8879401932901411,0.8658308141371783,0.7899161746252829,0.7352717733629615,0.7701447650289802,0.628071861933074,0.7747915203669178,0.6460143141812433,0.7474721062428026,0.6648964595235012,0.6421667636552854,0.5181124697645805
0.5492527286396988,0.7478485291495043,0.8906577096056583,0.8531823999741498,0.7922394925089025,0.6668433006732007,0.7784082417501442,0.6562325911457604,0.7814754739181319,0.6432642203304684,0.7530956845452537,0.6549975617303013,0.6504028939933919,0.515890649466544
0.54253939411311,0.7355367006624446,0.8920020487771105,0.8640239203677458,0.7952528984021785,0.7017716451063872,0.7794049874281705,0.6345772445352781,0.7832170222788605,0.647236132452335,0.755141789524524,0.6656725706205892,0.6532374690773327,0.5190754641070572
0.5372652733948693,0.7407542423290365,0.8946146893857131,0.8590114072841757,0.7980190393195223,0.7255343446469594,0.7783609739810562,0.6355825989560069,0.7828744544522531,0.6421579040594784,0.7579236799128243,0.6601558170798866,0.6551351307321396,0.51573064503037
0.5152587765521968,0.759127606802127,0.8977392680609404,0.8618216426933513,0.8057076099203594,0.7249399774307145,0.7924216949005625,0.6202399895469831,0.7961057065360582,0.6338667495081828,0.7666305277440975,0.6589959361450813,0.6687233698234629,0.5072208101965402
0.5146833880623775,0.7361034347730524,0.8983833256052501,0.8606494831688264,0.8052798030314161,0.6868145314647499,0.7876235029257056,0.6507849684636843,0.7929831296205521,0.6512912387248905,0.76598283487247,0.6638746585327863,0.6672311755481051,0.5241097473623021
0.5136550897315367,0.7349672080839381,0.8995162622252507,0.859519734102137,0.804317526741704,0.6671599768173884,0.7862282244127188,0.6736899759004639,0.7910630507533675,0.6552785211021499,0.7652301923024343,0.6641303040225914,0.6648637430269771,0.5274572412158155
0.5031131597152397,0.7458588516010958,0.9002702912287925,0.8562429845333099,0.8089202586839448,0.6570692565728684,0.7929387409518014,0.6772406453553169,0.7981097174446974,0.6548269199449913,0.7696290820169804,0.6614532550360002,0.6717889337842144,0.5277264181089055
